리뷰일,앱이름,별점,사용자 리뷰,회사 응답
2025-10-15,뱅크샐러드,5.0,예적금 말고도 파킹통장 누적 이자까지 포함해서 볼 순 없을까요? 현재 예적금 말고 파킹통장 활용 중인데 누적 이자 볼 수 있다면 좋을 거 같아서요,"안녕하세요? 뱅크샐러드 고객감동팀입니다. 뱅크샐러드를 이용해 주시고, 리뷰 남겨 주셔서 감사드립니다. 더 나은 뱅크샐러드를 위해 소중한 의견 남겨주셔서 감사합니다. 남겨주신 의견 참고해서, 더 편리한 뱅크샐러드를 만들어나갈 수 있도록 고민하고 개선해나가겠습니다. 이용 중 추가로 궁금하신 점이나, 전해 주실 의견이 있으시다면 언제든 앱 내 [전체(☰) - 고객센터]로 연락 부탁드립니다! 감사합니다."
2025-10-15,뱅크샐러드,5.0,잘쓰고 있습니다 krx 금현물도 등록 가능했으면 좋겠어요,"안녕하세요? 뱅크샐러드 고객감동팀입니다. 뱅크샐러드를 애정하시고, 소중한 의견 전달해 주셔서 진심으로 감사드립니다. 지금은 KRX 금현물 계좌의 투자 내역 연결이 불가한 상황입니다. 따라서, 현재로서는 해당 내역을 수기 입력하여 관리해주시길 권해드리고 있는데요. 말씀 주신 것처럼 KRX 투자금까지 자동 연결이 가능하다면, 더욱 편리한 자산 관리가 가능할 것 같습니다. 지금 당장 반영하기는 어렵지만, 꾸준히 고민하고 노력하여 더 나은 서비스를 이용하실 수 있도록 노력하겠습니다. 추가적인 건의사항 있으시면 언제든 앱 내 [전체(☰) - 고객센터]로 말씀해 주세요. 감사합니다."
2025-10-15,뱅크샐러드,1.0,업데이트한 이후로 복잡해져서 불편해요,"안녕하세요? 뱅크샐러드 고객감동팀입니다. 먼저, 뱅크샐러드를 이용해주시고 이렇게 리뷰 남겨주셔서 감사합니다. 현재 뱅크샐러드에서는 지속적인 업데이트를 통해 기능들을 보강하고, 보다 나은 서비스를 만들어 가기 위해 힘쓰고 있습니다. 업데이트 이후 뱅크샐러드를 이용하는 과정에서 불편함이 있으셨던 것 같아 마음이 무겁습니다. 보내주신 소중한 의견을 받아들여 부족한 부분을 채워가겠습니다. 이용에 불편을 드려 죄송하다는 말씀 드리며, 발전된 모습 보여드릴 수 있도록 꾸준히 노력하겠습니다. 감사합니다."
2025-10-15,뱅크샐러드,5.0,"가계부로 쓰기 좋고, 연동도 다양하게 지원해줘서 좋아요","안녕하세요? 뱅크샐러드 고객감동팀입니다. 뱅크샐러드를 만족스럽게 이용하고 계신 것 같아 정말 다행입니다. 현재 뱅크샐러드에서는 지속적인 업데이트를 통해 기능들을 보강하고, 보다 나은 서비스를 만들어 가기 위해 힘쓰고 있습니다. 계속 발전해 나갈 뱅크샐러드를 기대해 주시고, 응원해주시겠어요? 이용 중 궁금하신 점이나, 전해 주실 의견이 있으시다면 앱 내 [전체(☰) - 고객센터]로 연락부탁드립니다. 감사합니다."
2025-10-15,뱅크샐러드,1.0,"잘 쓰고 있었는데, 업데이트로 갑자기 불편해졌네요 가계부 지출내역 수동입력에서 현금이 최상단이었는데 왜 아래로 내려갔나요? 수동입력인데 당연히 현금이 최우선 아닌가요? 엄청 불편합니다. 날짜랑 시간선택도 전부 아이폰스타일로 바뀌었는데, 선택하는데 시간이 더 많이 걸리고 번거롭게 되었습니다. UX를 전혀 고려하지 않은 업뎃같네요.","안녕하세요? 뱅크샐러드 고객감동팀입니다. 먼저, 뱅크샐러드를 이용해주시고 이렇게 리뷰 남겨주셔서 감사합니다. 현재 뱅크샐러드에서는 지속적인 업데이트를 통해 기능들을 보강하고, 보다 나은 서비스를 만들어 가기 위해 힘쓰고 있습니다. 업데이트 이후 뱅크샐러드를 이용하는 과정에서 불편함이 있으셨던 것 같아 마음이 무겁습니다. 보내주신 소중한 의견을 받아들여 부족한 부분을 채워가겠습니다. 이용에 불편을 드려 죄송하다는 말씀 드리며, 발전된 모습 보여드릴 수 있도록 꾸준히 노력하겠습니다. 감사합니다."
2025-10-15,뱅크샐러드,5.0,광고제거 돈받고라도 팔아주실 수 없나요? 뱅샐 자체 협업 말고 배너뜨는 광고들이요 성인웹툰 광고같은것들도 떠서 불쾌해서 보기 싫습니다 무료어플이니 이해는 하는데 돈받고라도 광고제거 팔아주세요 수요가 있을겁니다 어려운거 아니잖아요..,"안녕하세요? 뱅크샐러드 고객감동팀입니다. 뱅크샐러드 이용 중 광고와 관련해 만족스럽지 못한 부분이 있으셨던 것 같아 마음이 무겁습니다. 현재 배너 광고들은 제거된 상황인데요! 가장 최신 버전으로 뱅크샐러드 앱 업데이트 진행을 부탁드려도 될까요? 뱅크샐러드는 ""고객에게 답이 있다""라는 가치를 가장 우선시하며 서비스를 만들어 가고 있습니다. 남겨주신 의견을 바탕으로, 보다 더 나은 서비스를 만들어가기 위해 꾸준히 노력하겠습니다. 이용 중 추가로 궁금하신 점이나, 전해 주실 의견이 있으시다면 언제든 앱 내 [전체(☰) - 고객센터]로 연락 부탁드립니다! 감사합니다. 소중한 연락을 기다리겠습니다. 감사합니다."
2025-10-15,뱅크샐러드,3.0,지역화폐 인센티브 금액도 반영해주세요.,"안녕하세요? 뱅크샐러드 고객감동팀입니다. 뱅크샐러드를 이용해 주시고, 리뷰 남겨 주셔서 감사드립니다. 더 나은 뱅크샐러드를 위해 소중한 의견 남겨주셔서 감사합니다. 남겨주신 의견 참고해서, 더 편리한 뱅크샐러드를 만들어나갈 수 있도록 고민하고 개선해나가겠습니다. 이용 중 추가로 궁금하신 점이나, 전해 주실 의견이 있으시다면 언제든 앱 내 [전체(☰) - 고객센터]로 연락 부탁드립니다! 감사합니다."
2025-10-15,뱅크샐러드,5.0,"5년째 잘 쓰고 있는 가계부 가계부뿐만 아니라 자산 현황을 종류별로(현금/예적금/투자) 한눈에 볼 수 있어서 편리하고 돈 모으는데에 도움이 많이 됨 긴 시간 사용하면서 뱅샐에 바라는점은 1. 보증금을 입력하는 부분이 없음 -&gt;자취 시작하면서 보증금이 생겼음 이 돈도 내 돈이기 때문에 자산에 넣으려는데 부동산 칸에는 주소를 입력해서 시세대로 자산이 잡히게 되어있음. 부동산도 수기로 입력 가능하도록 해서 전,월세 자취하는 사람들의 보증금도 자산으로 추가할 수 있으면 좋겠음 2. 하루 사용가능 예산, 안내와 실제의 차이 -&gt; 알림바로 매일 안내되는 하루 사용 가능 예산이 실제와 괴리가 있음. 한달 예산이 90만원이고 한달 월세가 60이라고 가정했을 때, 월세 내기 전 월초에는 하루 사용 가능 예산이 3만원이라고 나옴. 근데 월세 60을 내야해서 실제 하루 사용 가능한 예산은 일평균 약 1만원임. 주거비를 고려해서 사용가능 예산이 안내되면 좋을듯","안녕하세요, 뱅크샐러드 고객감동팀입니다. 뱅크샐러드를 애정하시고 리뷰 남겨 주셔서 감사합니다. 지금은 전세보증금을 ‘계좌/현금’ 수기 자산으로 등록해 [자산] 탭 초록 박스 안 순자산에 자산으로 잡히도록 설정하시는 것을 권해 드립니다. [방법] : [자산] 탭 상단 [설정(톱니바퀴)] &gt; 자산 연결 &gt; [수기입력] 탭 &gt; [현금] 혹은 [계좌] 선택 &gt; 전세보증금 입력 (계좌의 경우, 은행명을 기타은행으로 설정해 주세요.) 이렇게 추가하신 자산은 [자산] 탭에서 확인하실 수 있습니다. 이번에는 아쉬운 안내를 드려야하지만 앞으로 전세보증금도 함께 관리하실 수 있는 방법을 고민하고 개선해나가겠습니다. 감사합니다."
2025-10-15,뱅크샐러드,1.0,좀 익숙해질라 하면 ui 바뀌어서 짜증,"안녕하세요? 뱅크샐러드 고객감동팀입니다. 먼저, 뱅크샐러드를 이용해주시고 이렇게 리뷰 남겨주셔서 감사합니다. 현재 뱅크샐러드에서는 지속적인 업데이트를 통해 기능들을 보강하고, 보다 나은 서비스를 만들어 가기 위해 힘쓰고 있습니다. 업데이트 이후 뱅크샐러드를 이용하는 과정에서 불편함이 있으셨던 것 같아 마음이 무겁습니다. 보내주신 소중한 의견을 받아들여 부족한 부분을 채워가겠습니다. 이용에 불편을 드려 죄송하다는 말씀 드리며, 발전된 모습 보여드릴 수 있도록 꾸준히 노력하겠습니다. 감사합니다."
2025-10-15,뱅크샐러드,5.0,가계부에서 삭제한걸 복구할 수 없나요?,안녕하세요? 뱅크샐러드 고객감동팀입니다. 가계부 내역을 삭제한 이후 복구할 수 있는 방법이 있는지 문의 주셨군요. 뱅크샐러드에서는 임의로 고객님의 데이터를 저장 혹은 보관하지 않기 때문에 고객님께서 직접 내역을 삭제 하셨다면 해당 내역의 복구는 어렵다는 점 참고 부탁드립니다. 추가적인 도움 필요하시면 앱 내 [전체(☰) - 고객센터]로 말씀 남겨주세요. 감사합니다.
